collection,repunit,grpvec
George Adams H,S_Puget_Sound,22
Green R,S_Puget_Sound,22
Hamma Hamma R,S_Puget_Sound,22
Issaquah H,S_Puget_Sound,22
NF Skokomish R,S_Puget_Sound,22
Nisqually R,S_Puget_Sound,22
Puyallup R,S_Puget_Sound,22
SF Skokomish R,S_Puget_Sound,22
Snoqualmie R,S_Puget_Sound,22
Soos Cr,S_Puget_Sound,22
Soos Cr Green R,S_Puget_Sound,22
Soos Cr H,S_Puget_Sound,22
Soos H,S_Puget_Sound,22
White H,S_Puget_Sound,22
White R,S_Puget_Sound,22
Adams R,S_Thompson_R,23
Bessette Cr,S_Thompson_R,23
Eagle R,S_Thompson_R,23
Little R,S_Thompson_R,23
Salmon R (S Thompson),S_Thompson_R,23
Shuswap R - Lower,S_Thompson_R,23
Shuswap R - Middle,S_Thompson_R,23
Thompson R - Below Kamloops Lake,S_Thompson_R,23
Situk R,Situk_R,24
Blossom R,SSE_AK,25
Butler Cr,SSE_AK,25
Chickamin - Butler Cr,SSE_AK,25
Chickamin - Humpy Cr,SSE_AK,25
Chickamin R,SSE_AK,25
Clear Cr (Unuk),SSE_AK,25
Cripple Cr,SSE_AK,25
Farragut R,SSE_AK,25
Genes Lake,SSE_AK,25
Gene's Lake,SSE_AK,25
Harding R,SSE_AK,25
Kerr Cr,SSE_AK,25
Keta R,SSE_AK,25
King Cr (Chickamin),SSE_AK,25
Unuk - Clear Cr,SSE_AK,25
Whitman Lake H,SSE_AK,25
Alpine Cr (Stikine),Stikine_R,26
Andrew Cr,Stikine_R,26
Christina Cr,Stikine_R,26
Craig R,Stikine_R,26
Johnny Tashoots Cr,Stikine_R,26
Little Tahltan R,Stikine_R,26
Shakes Cr,Stikine_R,26
Stikine - Andrew Cr,Stikine_R,26
Tahltan R,Stikine_R,26
Tuya R,Stikine_R,26
Verrett R,Stikine_R,26
Dudidontu R,Taku_R,27
Hackett R,Taku_R,27
Kowatua Cr,Taku_R,27
Little Tatsamenie Lake,Taku_R,27
Little Tatsamenie R,Taku_R,27
Nahlin R,Taku_R,27
Nakina R,Taku_R,27
Tseta Cr,Taku_R,27
Yeth R,Taku_R,27
Bowron R,Up_Fraser_R,28
Dome Cr,Up_Fraser_R,28
Goat R,Up_Fraser_R,28
Holmes R,Up_Fraser_R,28
Indianpoint Cr,Up_Fraser_R,28
Kenneth Cr,Up_Fraser_R,28
Mcgregor R,Up_Fraser_R,28
Morkill R,Up_Fraser_R,28
Salmon R,Up_Fraser_R,28
Slim Cr,Up_Fraser_R,28
Swift Cr,Up_Fraser_R,28
Tete Jaune,Up_Fraser_R,28
Torpy R,Up_Fraser_R,28
Walker Cr,Up_Fraser_R,28
Willow R,Up_Fraser_R,28
Babine R - Sections 1 To 3,Up_Skeena_R,29
Bear R,Up_Skeena_R,29
Bulkley R - Upper,Up_Skeena_R,29
Fiddler Cr,Up_Skeena_R,29
Kispiox R,Up_Skeena_R,29
Kitseguecla R,Up_Skeena_R,29
Kitwanga R,Up_Skeena_R,29
Kluayaz Cr,Up_Skeena_R,29
Kuldo Cr,Up_Skeena_R,29
Morice R,Up_Skeena_R,29
Otsi Cr,Up_Skeena_R,29
Shegunia R,Up_Skeena_R,29
Sicintine R,Up_Skeena_R,29
Squingula R,Up_Skeena_R,29
Suskwa R,Up_Skeena_R,29
Sustut R,Up_Skeena_R,29
Sweetin R,Up_Skeena_R,29
Thomas Cr,Up_Skeena_R,29
Anvik R,W_AK_Cst,30
Arolik R,W_AK_Cst,30
Big Cr (W_AK),W_AK_Cst,30
Cheeneetnuk R,W_AK_Cst,30
Eek R,W_AK_Cst,30
Gagaryah R,W_AK_Cst,30
George R,W_AK_Cst,30
George R Weir,W_AK_Cst,30
Gisasa R,W_AK_Cst,30
Golsovia R,W_AK_Cst,30
Goodnews R - North Fork,W_AK_Cst,30
Kanektok R,W_AK_Cst,30
Kisaralik R,W_AK_Cst,30
Kogrukluk R,W_AK_Cst,30
Kwethluk R,W_AK_Cst,30
Mulchatna R,W_AK_Cst,30
Mulchatna R - Upper Nushagak R,W_AK_Cst,30
Naknek R - Mainstem,W_AK_Cst,30
Pilgrim R,W_AK_Cst,30
Pitka Fork,W_AK_Cst,30
Stony R,W_AK_Cst,30
Stuyahok R,W_AK_Cst,30
Takotna R,W_AK_Cst,30
Tatlawiksuk R,W_AK_Cst,30
Togiak R,W_AK_Cst,30
Tuluksak R,W_AK_Cst,30
Unalakleet R,W_AK_Cst,30
Bedwell R,W_Vancouver_Is,31
Burman R,W_Vancouver_Is,31
Colonial Cr,W_Vancouver_Is,31
Conuma R,W_Vancouver_Is,31
Cypre R,W_Vancouver_Is,31
Gold R,W_Vancouver_Is,31
Kaouk R,W_Vancouver_Is,31
Kennedy R - Lower,W_Vancouver_Is,31
Leiner R,W_Vancouver_Is,31
Marble R,W_Vancouver_Is,31
Megin R,W_Vancouver_Is,31
Moyeha R,W_Vancouver_Is,31
Nahmint R,W_Vancouver_Is,31
Nitinat R,W_Vancouver_Is,31
Robertson Cr,W_Vancouver_Is,31
Robertson H,W_Vancouver_Is,31
San Juan R,W_Vancouver_Is,31
Sarita R,W_Vancouver_Is,31
Sooke R,W_Vancouver_Is,31
Stamp R - Above fas,W_Vancouver_Is,31
Tahsis R,W_Vancouver_Is,31
Tahsish R,W_Vancouver_Is,31
Thornton Cr,W_Vancouver_Is,31
Tlupana R,W_Vancouver_Is,31
Toquart R,W_Vancouver_Is,31
Tranquil Cr,W_Vancouver_Is,31
Zeballos R,W_Vancouver_Is,31
Hoh R,WA_Cst,32
Queets R,WA_Cst,32
Quinault R,WA_Cst,32
Sol Duc R,WA_Cst,32
U Deschutes R,Deschutes_R_fa,33
Carson H,Mid/Up_Columbia_R_sp,34
Chiwawa R (from mixed fishery),Mid/Up_Columbia_R_sp,34
John Day R,Mid/Up_Columbia_R_sp,34
Little White Salmon R,Mid/Up_Columbia_R_sp,34
Middle Fork John Day R,Mid/Up_Columbia_R_sp,34
Nason R (from mixed fishery),Mid/Up_Columbia_R_sp,34
North Fork John Day R,Mid/Up_Columbia_R_sp,34
Shitike Cr,Mid/Up_Columbia_R_sp,34
Warm Springs H,Mid/Up_Columbia_R_sp,34
Lyons Ferry,Snake_R_fa,35
Lyons Ferry H,Snake_R_fa,35
Bear Valley Cr,Snake_R_sp,36
Big Cr (Snake),Snake_R_sp,36
Camas Cr,Snake_R_sp,36
Cape Horn Cr,Snake_R_sp,36
