OffspCollection	Kid	Pa	Ma	PopName	SpawnYear	FDR	Pvalue	LOD	P.Pr.C_Se_Se	P.Pr.Max	MaxP.Pr.Relat	TotPaNonExc	TotMaNonExc	TotUnkNonExc	TotPairsMendCompat	TotPairsMendAndLogL	TotParsMendLoglAndRank	TotPairsNonExc	KidMiss	PaMiss	MaMiss	MI.Kid.Pa	MI.Kid.Ma	MI.Trio	MendIncLoci
JSOES_May2024	90839-025	OtsRAPH22S_2745	OtsRAPH22S_0764	Rapid_River	2022	0.000000	0.000000	18.678610	0.989356	0.989356	C_Se_Se	323	379	0	1	1	1	1	1	0	4	0	0	0	---
JSOES_May2024	90839-026	OtsPBT22HHSp-0018	OtsPBT22HL-CHEL-0254	Eastbank_sp	2022	0.006186	0.135000	15.068487	0.715428	0.715428	C_Se_Se	15552	19341	12	2	2	2	2	1	2	0	2	0	4	Ots_96899-357R,Ots_mapKpr-151,Ots_txnip-321,Ots_u07-07.161
JSOES_May2024	90839-027	OtsAC22MCKE_0230	OtsAC22MCKE_0354	McKenzie	2022	0.000000	0.000000	20.205977	0.997670	0.997670	C_Se_Se	920	849	0	15	15	15	15	2	1	0	0	0	0	---
JSOES_May2024	90839-028	OtsAC22SSNT_0303	OtsAC22SSNT_0484	S_Santiam	2022	0.002123	0.002000	18.509287	0.987416	0.987416	C_Se_Se	218	208	0	3	3	3	3	1	0	0	1	0	1	Ots_112820-284
JSOES_May2024	90839-029	OtsAC22NSNT_0510	OtsAC22NSNT_1041	Minto	2022	0.000000	0.000000	18.670707	0.989272	0.989272	C_Se_Se	146	115	0	10	10	10	10	1	0	1	0	0	0	---
JSOES_May2024	90839-030	---	---	---	---	---	---	---	---	---	---	11	4	0	0	0	0	0	0	---	---	---	---	---	---
JSOES_May2024	90839-031	---	---	---	---	---	---	---	---	---	---	319	252	0	0	0	0	0	1	---	---	---	---	---	---
JSOES_May2024	90839-032	OtsPBT22LHSuFa-0071	OtsPBT22LHSuFa-0933	Washougal	2022	0.991000	0.991000	2.457801	0.000008	0.940334	C_U_U	261	215	0	12	12	12	12	1	0	0	2	0	4	Ots_102414-395,Ots_96500-180,Ots_Est740,Ots_MHC2
JSOES_May2024	90839-033	OtsAC22SSNT_0015	OtsAC22SSNT_0166	S_Santiam	2022	0.631760	0.992000	-4.250834	0.000000	0.971991	C_U_U	172	108	0	3	3	3	3	1	3	0	2	0	4	Ots_117432-409,Ots_118205-61,Ots_AsnRS-60,Ots_OTALDBINT1-SNP1
JSOES_May2024	90839-034	OtsPBT22-COW-IMSp-0509	OtsPBT22-COW-IMSp-0300	Cowlitz	2022	1.235585	0.490000	7.947379	0.002027	0.641989	C_U_U	124	96	0	15	15	15	15	3	5	0	1	1	3	Ots_108820-336,Ots_GCSH,Ots_u1002-75
JSOES_May2024	90839-035	---	---	---	---	---	---	---	---	---	---	54	55	0	0	0	0	0	1	---	---	---	---	---	---
JSOES_May2024	90839-036	---	---	---	---	---	---	---	---	---	---	185	151	0	0	0	0	0	1	---	---	---	---	---	---
JSOES_May2024	90839-039	OtsMCCA22S_0863	OtsMCCA22S_0410	McCall	2022	0.000000	0.000000	20.406597	0.998092	0.998092	C_Se_Se	710	792	0	1	1	1	1	1	1	2	0	0	0	---
JSOES_May2024	90839-040	OtsCLWH22S_2118	OtsCLWH22S_0596	Clearwater	2022	0.000424	0.001000	20.091025	0.997386	0.997386	C_Se_Se	33	29	0	1	1	1	1	1	2	0	1	0	1	Ots_OTALDBINT1-SNP1
JSOES_May2024	90839-041	OtsPBT22-CarsonNFH-0167	OtsPBT22-CarsonNFH-0069	Carson	2022	0.000000	0.000000	20.534076	0.998320	0.998320	C_Se_Se	244	347	0	1	1	1	1	1	0	0	0	0	0	---
JSOES_May2024	90839-043	OtsPBT22-SpPFF-0046	OtsPBT22-SpPFF-0038	Parkdale	2022	0.000000	0.000000	21.474431	0.999343	0.999343	C_Se_Se	136	137	0	1	1	1	1	0	0	0	0	0	0	---
JSOES_May2024	90839-044	OtsPBT22-LNFH-0708	OtsPBT22-LNFH-0199	Leavenworth	2022	0.002106	0.001000	19.391412	0.994753	0.994753	C_Se_Se	102	136	0	4	4	4	4	0	1	0	0	0	0	---
JSOES_May2024	90839-045	OtsPBT22-CarsonNFH-0168	OtsPBT22-CarsonNFH-0070	Carson	2022	0.000043	0.036000	15.714031	0.827418	0.827418	C_Se_Se	1001	1117	0	202	202	202	202	2	0	0	0	0	0	---
JSOES_May2024	90839-047	OtsDWOR22S_1625	OtsDWOR22S_0760	Dworshak	2022	0.000000	0.000000	20.096600	0.997401	0.997401	C_Se_Se	75	83	0	1	1	1	1	0	0	2	0	0	0	---
JSOES_May2024	90839-048	OtsPBT22-WNFHSCS-0453	OtsPBT22-WNFHSCS-0147	Winthrop	2022	0.981637	0.886000	3.889630	0.000035	0.528792	C_U_Se	199	245	0	3	3	3	3	3	3	0	2	1	4	Ots_105385-421,Ots_108820-336,Ots_ARNT,Ots_OTALDBINT1-SNP1
JSOES_May2024	90839-049	OtsRAPH22S_2379	OtsRAPH22S_0387	Rapid_River	2022	0.000158	0.001000	20.733025	0.998623	0.998623	C_Se_Se	533	607	0	8	8	8	8	1	0	3	0	0	0	---
JSOES_May2024	90839-050	OtsDWOR22S_1262	OtsDWOR22S_0331	Dworshak	2022	0.000000	0.000000	19.592911	0.995706	0.995706	C_Se_Se	382	439	0	3	3	3	3	2	1	0	0	0	0	---
JSOES_May2024	90839-051	OtsPBT22-CarsonNFH-0720	OtsPBT22-CarsonNFH-0620	Carson	2022	0.000002	0.001000	18.648502	0.989034	0.989034	C_Se_Se	117	140	0	2	2	2	2	2	0	0	0	0	0	---
JSOES_May2024	90839-052	OtsPBT22-Entiat-0207	OtsPBT22-Entiat-0007	Entiat	2022	0.019032	0.123000	14.524975	0.593483	0.593483	C_Se_Se	1119	1431	0	273	273	273	273	2	0	1	0	0	0	---
JSOES_May2024	90839-053	---	---	---	---	---	---	---	---	---	---	140	151	0	0	0	0	0	2	---	---	---	---	---	---
JSOES_May2024	90839-054	OtsPBT22-CarsonNFH-0736	OtsPBT22-CarsonNFH-0635	Carson	2022	0.000000	0.000000	20.329839	0.997941	0.997941	C_Se_Se	139	153	0	2	2	2	2	1	0	0	0	0	0	---
JSOES_May2024	90839-055	OtsPBT22-LNFH-0552	OtsPBT22-LNFH-0042	Leavenworth	2022	0.000000	0.000000	21.021898	0.998968	0.998968	C_Se_Se	234	208	0	2	2	2	2	1	0	0	0	0	0	---
JSOES_May2024	90839-056	OtsRAPH22S_2333	OtsRAPH22S_0338	Rapid_River	2022	0.000000	0.000000	21.183695	0.999122	0.999122	C_Se_Se	1389	1692	0	1	1	1	1	2	0	3	0	0	0	---
JSOES_May2024	90839-057	OtsLOOK22S_0087	OtsLOOK22S_0387	Lookingglass	2022	0.000002	0.004000	18.443753	0.986576	0.986576	C_Se_Se	35	43	0	1	1	1	1	3	1	0	1	0	1	Ots_u07-17.135
JSOES_May2024	90839-058	OtsCLWH22S_2085	OtsCLWH22S_0566	Clearwater	2022	0.000762	0.003000	18.243089	0.983641	0.983641	C_Se_Se	858	1058	0	2	2	2	2	3	3	0	0	0	0	---
JSOES_May2024	90839-059	OtsPBT22-CJSp-0385	OtsPBT22-CJSp-0190	Chief_Joseph_sp	2022	0.000000	0.000000	20.962875	0.998905	0.998905	C_Se_Se	210	205	0	3	3	3	3	1	0	1	0	0	0	---
JSOES_May2024	90839-060	OtsCLWH22S_2338	OtsCLWH22S_0815	Clearwater	2022	0.000381	0.001000	20.194519	0.997643	0.997643	C_Se_Se	18	26	0	1	1	1	1	2	3	0	0	0	0	---
JSOES_May2024	90839-061	---	---	---	---	---	---	---	---	---	---	28	29	0	0	0	0	0	1	---	---	---	---	---	---
JSOES_May2024	90839-063	OtsRAPH22S_2142	OtsRAPH22S_0140	Rapid_River	2022	0.000000	0.000000	20.284884	0.997846	0.997846	C_Se_Se	218	248	0	1	1	1	1	2	0	3	0	0	0	---
JSOES_May2024	90839-065	OtsRAPH22S_2432	OtsRAPH22S_0440	Rapid_River	2022	0.000000	0.000000	23.748816	0.999932	0.999932	C_Se_Se	22	31	0	1	1	1	1	3	0	4	0	0	0	---
JSOES_May2024	90839-066	OtsAC22MCKE_0075	OtsAC22MCKE_0113	McKenzie	2022	0.449028	0.932000	1.224273	0.000002	0.936513	C_U_U	261	161	0	4	4	4	4	1	4	6	0	1	4	Ots_101554-407,Ots_E2-275,Ots_GCSH,Ots_OTDESMIN19-SNP1
JSOES_May2024	90839-067	---	---	---	---	---	---	---	---	---	---	45	62	0	0	0	0	0	1	---	---	---	---	---	---
JSOES_May2024	90839-069	OtsRAPH22S_2506	OtsRAPH22S_0479	Rapid_River	2022	0.015989	0.156000	10.588687	0.027709	0.537439	C_U_Se	521	524	0	3	3	3	3	1	0	0	1	0	2	Ots_118205-61,Ots_NFYB-147
JSOES_May2024	90839-071	OtsPBT22-CarsonNFH-0113	OtsPBT22-CarsonNFH-0012	Carson	2022	0.000003	0.002000	18.259980	0.983911	0.983911	C_Se_Se	168	207	0	3	3	3	3	1	0	0	0	0	0	---
JSOES_May2024	90839-072	OtsDWOR22S_1159	OtsDWOR22S_0211	Dworshak	2022	0.000000	0.000000	22.300255	0.999712	0.999712	C_Se_Se	127	141	0	2	2	2	2	1	0	0	0	0	0	---
JSOES_May2024	90839-074	---	---	---	---	---	---	---	---	---	---	30	36	0	0	0	0	0	2	---	---	---	---	---	---
JSOES_May2024	90839-075	OtsSAWT22S_1244	OtsSAWT22S_0544	Sawtooth	2022	0.000000	0.000000	19.731482	0.996260	0.996260	C_Se_Se	388	427	0	3	3	3	3	2	1	0	0	0	0	---
JSOES_May2024	90839-076	OtsPBT22-SpPFF-0121	OtsPBT22-SpPFF-0113	Parkdale	2022	0.000000	0.000000	20.988809	0.998933	0.998933	C_Se_Se	79	92	1	1	1	1	1	1	0	0	0	0	0	---
JSOES_May2024	90839-077	---	---	---	---	---	---	---	---	---	---	60	92	0	0	0	0	0	2	---	---	---	---	---	---
JSOES_May2024	90839-078	OtsPBT22-LWSSp-0061	OtsPBT22-LWSSp-0170	Little_White_Salmon_sp	2022	0.000000	0.002000	20.348974	0.997979	0.997979	C_Se_Se	6	3	0	1	1	1	1	2	0	1	0	0	0	---
JSOES_May2024	90839-079	OtsCLWH22S_1735	OtsCLWH22S_0219	Clearwater	2022	0.000000	0.000000	19.256644	0.994000	0.994000	C_Se_Se	443	551	1	1	1	1	1	0	2	0	0	0	0	---
JSOES_May2024	90839-080	OtsDWOR22S_1495	OtsDWOR22S_0592	Dworshak	2022	0.000000	0.000000	21.495658	0.999357	0.999357	C_Se_Se	1331	1512	0	1	1	1	1	2	0	0	0	0	0	---
JSOES_May2024	90839-083	OtsPBT22-CarsonNFH-1753	OtsPBT22-CarsonNFH-1514	Carson	2022	0.000000	0.000000	20.356151	0.997994	0.997994	C_Se_Se	108	95	0	1	1	1	1	1	0	0	0	0	0	---
JSOES_May2024	90839-084	OtsPBT22-WNFHSCS-0407	OtsPBT22-WNFHSCS-0149	Winthrop	2022	0.000000	0.000000	20.895768	0.998830	0.998830	C_Se_Se	487	536	0	21	21	21	21	2	1	0	0	0	0	---
JSOES_May2024	90839-086	OtsLOOK22S_0559	OtsLOOK22S_0758	Lookingglass	2022	0.000000	0.000000	20.078249	0.997353	0.997353	C_Se_Se	77	84	0	4	4	4	4	2	0	0	0	0	0	---
JSOES_May2024	90839-087	OtsPBT22-CarsonNFH-0355	OtsPBT22-CarsonNFH-0256	Carson	2022	0.000003	0.002000	18.842631	0.990951	0.990951	C_Se_Se	139	162	0	3	3	3	3	1	0	0	0	0	0	---
JSOES_May2024	90839-088	OtsDWOR22S_1572	OtsDWOR22S_0688	Dworshak	2022	0.000000	0.000000	21.062541	0.999009	0.999009	C_Se_Se	300	288	0	2	2	2	2	1	0	0	0	0	0	---
JSOES_May2024	90839-089	OtsPBT22-LNFH-0933	OtsPBT22-LNFH-0442	Leavenworth	2022	0.789898	1.000000	1.123283	0.000002	0.906298	C_U_U	585	677	2	6	6	6	6	2	9	2	0	1	3	Ots_105132-200,Ots_105407-117,Ots_ARNT
JSOES_May2024	90839-090	OtsPBT22-SpPFF-0135	OtsPBT22-SpPFF-0127	Parkdale	2022	0.000000	0.000000	20.054984	0.997291	0.997291	C_Se_Se	109	121	0	2	2	2	2	2	0	1	0	0	0	---
JSOES_May2024	90839-091	OtsCLWH22S_1853	OtsCLWH22S_0481	Clearwater	2022	0.129603	0.680000	6.431535	0.000446	0.804873	C_Se_U	61	59	0	1	1	1	1	1	4	0	0	2	3	Ots_105132-200,Ots_115987-325,Ots_94903-99R
JSOES_May2024	90839-092	---	---	---	---	---	---	---	---	---	---	445	522	0	0	0	0	0	0	---	---	---	---	---	---
JSOES_May2024	90839-093	OtsKOOS22S_0675	OtsKOOS22S_0130	Dworshak	2022	0.300597	0.995000	3.226687	0.000018	0.896214	C_U_U	682	748	0	11	11	11	11	0	0	0	2	1	4	Ots_110689-218,Ots_96500-180,Ots_E2-275,Ots_pop5-96
JSOES_May2024	90839-094	OtsPBT22-LWSSp-0083	OtsPBT22-LWSSp-0206	Little_White_Salmon_sp	2022	0.000000	0.000000	22.791102	0.999824	0.999824	C_Se_Se	93	116	0	1	1	1	1	1	0	1	0	0	0	---
JSOES_May2024	90839-095	OtsPAHH22S_0947	OtsPAHH22S_0447	Pahsimeroi	2022	0.000000	0.000000	18.701987	0.989599	0.989599	C_Se_Se	386	413	0	2	2	2	2	1	1	0	0	0	0	---
JSOES_May2024	90839-097	OtsRAPH22S_2311	OtsRAPH22S_0316	Rapid_River	2022	0.000000	0.000000	21.154362	0.999096	0.999096	C_Se_Se	12	18	0	2	2	2	2	1	0	4	0	0	0	---
JSOES_May2024	90839-098	OtsPAHH22S_0653	OtsPAHH22S_0153	Pahsimeroi	2022	0.000000	0.000000	19.544089	0.995493	0.995493	C_Se_Se	36	36	0	1	1	1	1	0	2	4	0	0	0	---
JSOES_May2024	90839-100	OtsMCCA22S_0870	OtsMCCA22S_0417	McCall	2022	0.000001	0.001000	21.214237	0.999148	0.999148	C_Se_Se	81	106	0	2	2	2	2	1	0	1	0	0	0	---
JSOES_May2024	90839-101	---	---	---	---	---	---	---	---	---	---	214	257	0	0	0	0	0	2	---	---	---	---	---	---
JSOES_May2024	90839-102	OtsRAPH22S_2801	OtsRAPH22S_0822	Rapid_River	2022	0.000379	0.003000	17.679277	0.971604	0.971604	C_Se_Se	838	966	0	10	10	10	10	1	0	4	0	0	0	---
JSOES_May2024	90839-104	OtsRAPH22S_2483	OtsRAPH22S_0493	Rapid_River	2022	0.000000	0.000000	20.600728	0.998428	0.998428	C_Se_Se	369	350	0	4	4	4	4	1	0	0	0	0	0	---
JSOES_May2024	90839-105	---	---	---	---	---	---	---	---	---	---	126	119	0	0	0	0	0	1	---	---	---	---	---	---
JSOES_May2024	90839-106	OtsAC22SSNT_0043	OtsAC22SSNT_0160	S_Santiam	2022	0.715727	0.974000	-1.133559	0.000000	0.680772	C_U_U	543	492	0	3	3	3	3	1	2	0	0	1	4	Ots_129458-451,Ots_HMGB1-73,Ots_SClkF2R2-135,Ots_u6-75
JSOES_May2024	90839-107	OtsDWOR22S_1046	OtsDWOR22S_0057	Dworshak	2022	0.000000	0.000000	20.295337	0.997868	0.997868	C_Se_Se	696	792	0	44	44	44	44	1	1	0	0	0	0	---
JSOES_May2024	90839-108	OtsPBT22-LNFH-0504	OtsPBT22-LNFH-0056	Leavenworth	2022	0.963676	0.915000	3.067914	0.000015	0.830731	C_U_U	620	727	0	3	3	3	3	2	0	0	0	1	4	Ots_FGF6B_1,Ots_IL8R_C8,Ots_u1002-75,Ots_u4-92
JSOES_May2024	90839-110	OtsPBT22HGSp-0049	OtsPBT22HGSp-0037	Eastbank_sp	2022	0.012043	0.292000	14.368819	0.555330	0.555330	C_Se_Se	118	116	0	1	1	1	1	2	0	1	0	0	0	---
JSOES_May2024	90839-112	OtsDWOR22S_1113	OtsDWOR22S_0145	Dworshak	2022	0.000000	0.000000	19.514681	0.995359	0.995359	C_Se_Se	141	176	0	3	3	3	3	2	2	0	0	0	0	---
JSOES_May2024	90839-113	OtsCLWH22S_2486	OtsCLWH22S_0906	Clearwater	2022	0.170263	0.938000	-2.034326	0.000000	0.787465	C_U_U	329	348	1	1	1	1	1	1	10	0	2	1	3	Ots_102801-308,Ots_118938-325,Ots_u4-92
JSOES_May2024	90839-114	OtsPBT22-PRHFa-2947	OtsPBT22-PRHFa-2882	Priest_Rapids	2022	0.484719	0.434000	13.030718	0.246778	0.246778	C_Se_Se	2288	2839	0	1671	1671	1671	1671	1	0	0	0	0	1	Ots_mybp-85
JSOES_May2024	90839-115	OtsRAPH22S_2588	OtsRAPH22S_0599	Rapid_River	2022	0.000152	0.001000	19.967257	0.997043	0.997043	C_Se_Se	304	335	0	3	3	3	3	2	0	3	0	0	0	---
JSOES_May2024	90839-118	OtsPBT22-CarsonNFH-1729	OtsPBT22-CarsonNFH-1664	Carson	2022	0.000002	0.001000	19.476450	0.995179	0.995179	C_Se_Se	623	719	0	1	1	1	1	2	0	0	0	1	1	Ots_u6-75
JSOES_May2024	90839-119	OtsRAPH22S_2653	OtsRAPH22S_0669	Rapid_River	2022	0.000000	0.000000	20.040426	0.997251	0.997251	C_Se_Se	214	247	0	2	2	2	2	3	0	4	0	0	0	---
JSOES_May2024	90839-121	OtsCLWH22S_2108	OtsCLWH22S_0586	Clearwater	2022	0.000000	0.000000	21.434546	0.999317	0.999317	C_Se_Se	98	91	1	2	2	2	2	2	4	0	0	0	0	---
JSOES_May2024	90839-122	OtsPBT22-CarsonNFH-0346	OtsPBT22-CarsonNFH-0247	Carson	2022	0.000000	0.000000	19.409806	0.994848	0.994848	C_Se_Se	202	226	0	2	2	2	2	2	0	0	0	0	0	---
JSOES_May2024	90839-123	OtsPBT22-LWSSp-1043	OtsPBT22-LWSSp-1141	Little_White_Salmon_sp	2022	0.000000	0.000000	19.843620	0.996655	0.996655	C_Se_Se	139	133	0	3	3	3	3	2	0	0	0	0	0	---
JSOES_May2024	90839-124	OtsPBT22-WNFHSCS-0415	OtsPBT22-WNFHSCS-0148	Winthrop	2022	0.000000	0.000000	20.468308	0.998206	0.998206	C_Se_Se	329	363	0	1	1	1	1	1	0	0	0	0	0	---
JSOES_May2024	90839-125	OtsPBT22-LNFH-0915	OtsPBT22-LNFH-0403	Leavenworth	2022	0.000000	0.000000	17.904968	0.977210	0.977210	C_Se_Se	655	799	0	53	53	53	53	1	0	0	0	0	0	---
JSOES_May2024	90839-126	OtsPBT22-LWSSp-0741	OtsPBT22-LWSSp-0651	Little_White_Salmon_sp	2022	0.000000	0.000000	20.250568	0.997771	0.997771	C_Se_Se	352	452	0	1	1	1	1	1	0	2	0	0	0	---
JSOES_May2024	90839-127	OtsRAPH22S_2898	OtsRAPH22S_0921	Rapid_River	2022	0.000000	0.000000	21.410836	0.999300	0.999300	C_Se_Se	377	452	0	3	3	3	3	1	0	2	0	0	0	---
JSOES_May2024	90839-128	OtsLOOK22S_0815	OtsLOOK22S_0915	Lookingglass	2022	0.000001	0.001000	21.948881	0.999591	0.999591	C_Se_Se	59	66	0	1	1	1	1	1	0	0	0	0	0	---
JSOES_May2024	90839-129	OtsMCCA22S_0848	OtsMCCA22S_0395	McCall	2022	0.000002	0.002000	18.134093	0.981792	0.981792	C_Se_Se	92	113	0	6	6	6	6	2	0	6	0	0	0	---
JSOES_May2024	90839-130	OtsDWOR22S_1670	OtsDWOR22S_0808	Dworshak	2022	0.000000	0.000000	20.142144	0.997516	0.997516	C_Se_Se	313	326	0	2	2	2	2	3	0	0	0	0	0	---
JSOES_May2024	90839-132	OtsDWOR22S_1626	OtsDWOR22S_0761	Dworshak	2022	0.001057	0.003000	19.329845	0.994422	0.994422	C_Se_Se	183	186	0	21	21	21	21	3	0	3	0	0	0	---
JSOES_May2024	90839-134	OtsPBT22-LNFH-0627	OtsPBT22-LNFH-0147	Leavenworth	2022	0.000000	0.000000	20.417954	0.998114	0.998114	C_Se_Se	54	59	0	1	1	1	1	1	0	0	0	0	0	---
JSOES_May2024	90839-135	OtsPBT22-WNFHSCS-0301	OtsPBT22-WNFHSCS-0062	Winthrop	2022	0.000000	0.000000	19.819470	0.996574	0.996574	C_Se_Se	234	249	0	4	4	4	4	1	0	0	0	0	0	---
JSOES_May2024	90839-136	OtsRAPH22S_2694	OtsRAPH22S_0713	Rapid_River	2022	0.000000	0.000000	19.824758	0.996592	0.996592	C_Se_Se	242	274	0	2	2	2	2	3	0	2	0	0	0	---
JSOES_May2024	90839-137	OtsCLWH22S_1791	OtsCLWH22S_0273	Clearwater	2022	0.000000	0.000000	20.506616	0.998274	0.998274	C_Se_Se	557	609	0	1	1	1	1	1	3	0	0	0	0	---
JSOES_May2024	90839-139	OtsRAPH22S_2194	OtsRAPH22S_0194	Rapid_River	2022	0.000367	0.003000	19.583349	0.995665	0.995665	C_Se_Se	116	102	1	6	6	6	6	1	1	4	0	0	0	---
JSOES_May2024	90839-140	OtsCLWH22S_1946	OtsCLWH22S_0412	Clearwater	2022	0.004024	0.019000	13.761402	0.404876	0.410479	C_Se_Si	1196	1367	1	2	2	2	2	1	3	0	0	1	2	Ots_103122-180,Ots_CirpA
JSOES_May2024	90839-141	OtsPBT22-LNFH-0753	OtsPBT22-LNFH-0339	Leavenworth	2022	0.894616	0.991000	4.867645	0.000093	0.406593	C_U_Se	549	601	0	21	21	21	21	2	4	0	1	0	3	Ots_104415-88,Ots_E2-275,Ots_nkef-192
