PopName	RankInFDR	Kid	Pa	Ma	FDR	FDC.est.to.pop	Pvalue
Clearwater	2	90839-023	OtsCLWH22S_2354	OtsCLWH22S_0831	0.000000	0.00	0.000000
Clearwater	3	90839-079	OtsCLWH22S_1735	OtsCLWH22S_0219	0.000000	0.00	0.000000
Clearwater	4	90839-121	OtsCLWH22S_2108	OtsCLWH22S_0586	0.000000	0.00	0.000000
Clearwater	5	90839-137	OtsCLWH22S_1791	OtsCLWH22S_0273	0.000000	0.00	0.000000
Clearwater	6	90839-191	OtsCLWH22S_1774	OtsCLWH22S_0256	0.000000	0.00	0.000000
Clearwater	7	90839-246	OtsCLWH22S_1655	OtsCLWH22S_0141	0.000000	0.00	0.000000
Clearwater	8	90839-334	OtsCLWH22S_2137	OtsCLWH22S_0615	0.000000	0.00	0.000000
Clearwater	9	90839-040	OtsCLWH22S_2118	OtsCLWH22S_0596	0.000424	0.00	0.001000
Clearwater	10	90839-060	OtsCLWH22S_2338	OtsCLWH22S_0815	0.000381	0.00	0.001000
Clearwater	11	90839-594	OtsCLWH22S_1668	OtsCLWH22S_0154	0.000347	0.00	0.001000
Clearwater	12	90839-169	OtsCLWH22S_1736	OtsCLWH22S_0220	0.000635	0.01	0.002000
Clearwater	13	90839-388	OtsCLWH22S_2405	OtsCLWH22S_0906	0.000586	0.01	0.002000
Clearwater	14	90839-394	OtsCLWH22S_2290	OtsCLWH22S_0766	0.000545	0.01	0.002000
Clearwater	15	90839-058	OtsCLWH22S_2085	OtsCLWH22S_0566	0.000762	0.01	0.003000
Clearwater	16	90839-390	OtsCLWH22S_2446	OtsCLWH22S_1029	0.000715	0.01	0.003000
Clearwater	17	90839-217	OtsCLWH22S_2409	OtsCLWH22S_0911	0.001794	0.03	0.008000
Clearwater	18	90839-140	OtsCLWH22S_1946	OtsCLWH22S_0412	0.004024	0.07	0.019000
Clearwater	19	90839-385	OtsCLWH22S_2446	OtsCLWH22S_1029	0.005818	0.11	0.029000
Clearwater	20	90839-091	OtsCLWH22S_1853	OtsCLWH22S_0481	0.129603	2.59	0.680000
Clearwater	21	90839-113	OtsCLWH22S_2486	OtsCLWH22S_0906	0.170263	3.58	0.938000
Cowlitz	1	90839-356	OtsPBT22-COW-IMSp-0429	OtsPBT22-COW-IMSp-0148	0.000000	0.00	0.000000
Cowlitz	2	90839-367	OtsPBT22-COW-IMSp-0744	OtsPBT22-COW-IMSp-0695	0.000000	0.00	0.000000
Cowlitz	3	90839-383	OtsPBT22-COW-IMSp-0750	OtsPBT22-COW-IMSp-0705	0.000000	0.00	0.000000
Cowlitz	4	90839-494	OtsPBT22-COW-IMSp-0723	OtsPBT22-COW-IMSp-0692	0.003152	0.01	0.001000
Cowlitz	5	90839-034	OtsPBT22-COW-IMSp-0509	OtsPBT22-COW-IMSp-0300	1.235585	6.18	0.490000
Cowlitz	6	90839-365	OtsPBT22-COW-IMSp-0792	OtsPBT22-COW-IMSp-0662	1.523468	9.14	0.725000
Cowlitz	7	90839-516	OtsPBT22-COW-IMSp-0536	OtsPBT22-COW-IMSp-0218	1.653451	11.57	0.918000
Cowlitz	8	90839-629	OtsPBT22-COW-IMSp-0504	OtsPBT22-COW-IMSp-0170	1.487745	11.90	0.944000
Cowlitz	9	90839-364	OtsPBT22-COW-IMSp-0380	OtsPBT22-COW-IMSp-0005	1.395287	12.56	0.996000
Cowlitz	10	90839-519	OtsPBT22-COW-IMSp-0420	OtsPBT22-COW-IMSp-0301	1.258280	12.58	0.998000
Cowlitz	11	90839-506	OtsPBT22-COW-IMSp-0504	OtsPBT22-COW-IMSp-0076	1.145037	12.60	0.999000
Cowlitz	12	90839-575	OtsPBT22-COW-IMSp-0871	OtsPBT22-COW-IMSp-0806	1.050668	12.61	1.000000
Dworshak	1	90839-004	OtsDWOR22S_1007	OtsDWOR22S_0010	0.000000	0.00	0.000000
Dworshak	2	90839-047	OtsDWOR22S_1625	OtsDWOR22S_0760	0.000000	0.00	0.000000
Dworshak	3	90839-050	OtsDWOR22S_1262	OtsDWOR22S_0331	0.000000	0.00	0.000000
Dworshak	4	90839-072	OtsDWOR22S_1159	OtsDWOR22S_0211	0.000000	0.00	0.000000
Dworshak	5	90839-080	OtsDWOR22S_1495	OtsDWOR22S_0592	0.000000	0.00	0.000000
Dworshak	6	90839-088	OtsDWOR22S_1572	OtsDWOR22S_0688	0.000000	0.00	0.000000
Dworshak	7	90839-107	OtsDWOR22S_1046	OtsDWOR22S_0057	0.000000	0.00	0.000000
Dworshak	8	90839-112	OtsDWOR22S_1113	OtsDWOR22S_0145	0.000000	0.00	0.000000
Dworshak	9	90839-130	OtsDWOR22S_1670	OtsDWOR22S_0808	0.000000	0.00	0.000000
Dworshak	10	90839-175	OtsDWOR22S_1231	OtsDWOR22S_0301	0.000000	0.00	0.000000
Dworshak	11	90839-183	OtsDWOR22S_1246	OtsDWOR22S_0315	0.000000	0.00	0.000000
Dworshak	12	90839-184	OtsDWOR22S_1186	OtsDWOR22S_0242	0.000000	0.00	0.000000
Dworshak	13	90839-224	OtsKOOS22S_0536	OtsKOOS22S_0043	0.000000	0.00	0.000000
Dworshak	14	90839-275	OtsDWOR22S_1081	OtsDWOR22S_0103	0.000000	0.00	0.000000
Dworshak	15	90839-408	OtsKOOS22S_0645	OtsKOOS22S_0177	0.000000	0.00	0.000000
Dworshak	16	90839-478	OtsDWOR22S_1331	OtsDWOR22S_0407	0.000000	0.00	0.000000
Dworshak	17	90839-013	OtsDWOR22S_1104	OtsDWOR22S_0131	0.000373	0.01	0.001000
Dworshak	18	90839-132	OtsDWOR22S_1626	OtsDWOR22S_0761	0.001057	0.02	0.003000
Dworshak	19	90839-459	OtsKOOS22S_0520	OtsKOOS22S_0026	0.001002	0.02	0.003000
Dworshak	20	90839-158	OtsDWOR22S_1516	OtsDWOR22S_0692	0.232835	4.66	0.734000
Dworshak	21	90839-093	OtsKOOS22S_0675	OtsKOOS22S_0130	0.300597	6.31	0.995000
Dworshak	22	90839-225	OtsDWOR22S_1463	OtsDWOR22S_0603	0.287799	6.33	0.998000
Eastbank_sp	1	90839-012	OtsPBT22HHSp-0031	OtsPBT22HHSp-0025	0.000000	0.00	0.000000
Eastbank_sp	2	90839-293	OtsPBT22HL-CHEL-0223	OtsPBT22HL-CHEL-0143	0.000000	0.00	0.000000
Eastbank_sp	3	90839-347	OtsPBT22HL-CHEL-0278	OtsPBT22HL-CHEL-0242	0.000000	0.00	0.000000
Eastbank_sp	4	90839-283	OtsPBT22HL-CHEL-0288	OtsPBT22HL-CHEL-0252	0.000103	0.00	0.001000
Eastbank_sp	5	90839-391	OtsPBT22HL-CHEL-0322	OtsPBT22HL-CHEL-0307	0.000082	0.00	0.001000
Eastbank_sp	6	90839-255	OtsPBT22HJ-WEN-0229	OtsPBT22HJ-WEN-0200	0.000275	0.00	0.004000
Eastbank_sp	7	90839-266	OtsPBT22HL-CHEL-0294	OtsPBT22HL-CHEL-0258	0.003123	0.02	0.053000
Eastbank_sp	8	90839-460	OtsPBT22HL-CHEL-0217	OtsPBT22HL-CHEL-0137	0.005516	0.04	0.107000
Eastbank_sp	9	90839-026	OtsPBT22HHSp-0018	OtsPBT22HL-CHEL-0254	0.006186	0.06	0.135000
Eastbank_sp	10	90839-110	OtsPBT22HGSp-0049	OtsPBT22HGSp-0037	0.012043	0.12	0.292000
Entiat	1	90839-052	OtsPBT22-Entiat-0207	OtsPBT22-Entiat-0007	0.019032	0.02	0.123000
Entiat	2	90839-157	OtsPBT22-Entiat-0301	OtsPBT22-Entiat-0101	0.010367	0.02	0.134000
Kalama_Falls_su/fa	1	90839-558	OtsPBT22LFSuFa-0849	OtsPBT22LFSuFa-0707	10.029613	10.03	0.667000
Kalama_Falls_su/fa	2	90839-005	OtsPBT22LFSuFa-0839	OtsPBT22LFSuFa-0709	7.150046	14.30	0.951000
Kalama_Falls_su/fa	3	90839-488	OtsPBT22LFSuFa-0881	OtsPBT22LFSuFa-0621	5.002276	15.01	0.998000
Kalama_Falls_sp	1	90839-304	OtsPBT22LGSp-0021	OtsPBT22LGSp-0004	0.000000	0.00	0.000000
Kalama_Falls_sp	2	90839-332	OtsPBT22LGSp-0029	OtsPBT22LGSp-0176	0.000000	0.00	0.000000
Kalama_Falls_sp	3	90839-350	OtsPBT22LGSp-0231	OtsPBT22LGSp-0273	0.000000	0.00	0.000000
Kalama_Falls_sp	4	90839-542	OtsPBT22LGSp-0028	OtsPBT22LGSp-0135	0.000000	0.00	0.000000
Kalama_Falls_sp	5	90839-366	OtsPBT22LGSp-0200	OtsPBT22LGSp-0315	0.000635	0.00	0.001000
Kalama_Falls_sp	6	90839-532	OtsPBT22LGSp-0082	OtsPBT22LGSp-0113	0.000529	0.00	0.001000
Kalama_Falls_sp	7	90839-528	OtsPBT22LGSp-0033	OtsPBT22LGSp-0102	0.129629	0.91	0.286000
Kalama_Falls_sp	8	90839-561	OtsPBT22LGSp-0405	OtsPBT22LGSp-0480	0.192347	1.54	0.485000
Kalama_Falls_sp	9	90839-550	OtsPBT22LGSp-0418	OtsPBT22LGSp-0487	0.275323	2.48	0.781000
Klickitat	1	90839-327	OtsKHSpchk22-0243	OtsKHSpchk22-0225	0.000000	0.00	0.000000
Klickitat	2	90839-413	OtsKHSpchk22-0393	OtsKHSpchk22-0342	0.000000	0.00	0.000000
Klickitat	3	90839-418	OtsKHSpchk22-0442	OtsKHSpchk22-0423	0.000000	0.00	0.000000
Klickitat	4	90839-432	OtsKHSpchk22-0280	OtsKHSpchk22-0274	0.000000	0.00	0.000000
Klickitat	5	90839-226	OtsKHSpchk22-0167	OtsKHSpchk22-0149	0.000001	0.00	0.002000
Leavenworth	1	90839-003	OtsPBT22-LNFH-0700	OtsPBT22-LNFH-0215	0.000000	0.00	0.000000
Leavenworth	2	90839-055	OtsPBT22-LNFH-0552	OtsPBT22-LNFH-0042	0.000000	0.00	0.000000
Leavenworth	3	90839-125	OtsPBT22-LNFH-0915	OtsPBT22-LNFH-0403	0.000000	0.00	0.000000
Leavenworth	4	90839-134	OtsPBT22-LNFH-0627	OtsPBT22-LNFH-0147	0.000000	0.00	0.000000
Leavenworth	5	90839-185	OtsPBT22-LNFH-0807	OtsPBT22-LNFH-0298	0.000000	0.00	0.000000
Leavenworth	6	90839-044	OtsPBT22-LNFH-0708	OtsPBT22-LNFH-0199	0.002106	0.01	0.001000
Leavenworth	7	90839-018	OtsPBT22-LNFH-0563	OtsPBT22-LNFH-0100	0.009027	0.06	0.005000
Leavenworth	8	90839-022	OtsPBT22-LNFH-0658	OtsPBT22-LNFH-0204	0.007899	0.06	0.005000
Leavenworth	9	90839-008	OtsPBT22-LNFH-0798	OtsPBT22-LNFH-0303	0.009830	0.09	0.007000
Leavenworth	10	90839-248	OtsPBT22-LNFH-0575	OtsPBT22-LNFH-0353	0.490369	4.90	0.388000
Leavenworth	11	90839-011	OtsPBT22-LNFH-0794	OtsPBT22-LNFH-0365	0.892729	9.82	0.777000
Leavenworth	12	90839-108	OtsPBT22-LNFH-0504	OtsPBT22-LNFH-0056	0.963676	11.56	0.915000
Leavenworth	13	90839-410	OtsPBT22-LNFH-0936	OtsPBT22-LNFH-0254	0.952739	12.39	0.980000
Leavenworth	14	90839-141	OtsPBT22-LNFH-0753	OtsPBT22-LNFH-0339	0.894616	12.52	0.991000
