"ID","Not regional","Alsek","Chilkat_R","Copper_R","E_Vancouver_Is","Haida_Gwaii","Juan_de_Fuca","Kamchatka","King_Salmon_R","Low_Fraser_R","Low_Skeena_R","Low_Thompson_R","Mid_Fraser_R","Mid_Up_Yukon","N/Cent_BC_Cst","N_AK_Peninsula","N_Gulf_AK","N_Puget_Sound","N_Thompson_R","Nass_R","NSE_AK","S_BC_Cst","S_Puget_Sound","S_Thompson_R","Situk_R","SSE_AK","Stikine_R","Taku_R","Up_Fraser_R","Up_Skeena_R","W_AK_Cst","W_Vancouver_Is","WA_Cst"
"90839-409",0.9986,6.44e-06,0,3.92e-06,0,0,0,0,0,0,9.8e-07,2.8e-07,0,2.8e-07,2.8e-07,8.12e-06,1.036e-05,0,9.8e-07,8.12e-06,3.78e-06,0,0,0,3.22e-06,8.414e-05,0.00121828,4.76e-06,0,1.358e-05,3.192e-05,0,5.6e-07
"90839-410",0.9989,5.17e-06,1.1e-06,8.14e-06,0,0,0,4.4e-07,0,0,0,0,0,1.1e-07,0,2.915e-05,8.47e-06,0,0,1.1e-07,4.95e-06,0,0,0,6.49e-06,5.533e-05,0.00092158,4.18e-06,0,9.9e-07,5.379e-05,0,0
"90839-411",0.859,0.0005922,1.41e-05,0.0001692,0,0,0,4.23e-05,0,0,0.0009588,0,1.41e-05,0,0.0001551,2.82e-05,0.0014382,0,7.05e-05,0.0002679,0.0008601,2.82e-05,0,0,0,0.0120273,0.1223175,0.0005499,0,0.0010998,0.0002256,0,0.000141
"90839-412",0.9996,5.08e-06,0,2.2e-06,0,0,0,2e-07,4e-07,0,2e-07,0,0,6e-07,0,2e-07,3.6e-06,0,0,2e-07,1.6e-06,0,0,0,2.48e-06,2.964e-05,0.00034712,1.04e-06,0,7.6e-07,4.68e-06,0,0
"90839-413",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90839-414",0.9863,3.562e-05,0,7.809e-05,0,0,0,5.891e-05,0,0,7.261e-05,5.754e-05,6.987e-05,0,1.644e-05,8.22e-06,0.00011097,0,3.288e-05,2.74e-05,2.055e-05,2.74e-06,0,0,4.11e-06,0.00109052,0.0118779,5.48e-06,4.11e-06,0.0001096,1.644e-05,0,0
"90839-415",0.9999,8.5e-07,0,2.03e-06,0,0,0,0,1e-08,0,0,1e-08,0,4e-08,0,4.7e-07,4.2e-07,0,0,8e-08,5.5e-07,0,0,0,1.5e-07,7.12e-06,8.612e-05,9e-08,0,1.1e-07,1.95e-06,0,0
"90839-416",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90839-417",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90839-418",0.9999,2.2e-07,7e-08,2.4e-07,0,0,0,1e-08,0,0,3e-08,2e-08,0,1e-08,6e-08,3e-08,1.14e-06,0,0,1e-08,1e-06,2e-08,0,0,2e-07,8.14e-06,8.722e-05,6.5e-07,0,2.8e-07,2e-07,0,4.5e-07
