"SampleID","SalmonID","Genotypic sex","species","Genetic_Stock_Best_Estimate","Probability_Best_Estimate","Genetic_Stock_2nd_Best_Estimate","Probability_2nd_Best_Estimate","PBT_Estimate","PBT_Hatchery_Probability"
"90839-513",50750,"F","chinook","Willamette_R","1","Deschutes_R_fa","0","Minto","0.990583"
"90839-515",50752,"M","chinook","Willamette_R","1","Deschutes_R_fa","0",NA,NA
"90839-516",50753,"M","chinook","W_Cascade_sp","0.99470322","Willamette_R","0.00209853",NA,NA
"90839-517",50754,"M","chinook","Willamette_R","0.99760023","W_Cascade_sp","0.00009977",NA,NA
"90839-518",50755,"F","chinook","Willamette_R","1","Deschutes_R_fa","0",NA,NA
"90839-519",50756,"M","chinook","W_Cascade_sp","0.9967","Deschutes_R_fa","0",NA,NA
"90839-520",50757,"M","chinook","Willamette_R","1","Deschutes_R_fa","0",NA,NA
"90839-521",50758,"F","chinook","Up_Columbia_R_su.fa","1","Deschutes_R_fa","0","Little_White_Salmon_fa","0.997762"
"90839-522",50759,"F","chinook","Spring_Cr_Group_tule","1","Deschutes_R_fa","0",NA,NA
"90839-523",50760,"F","chinook","W_Cascade_fa","0.93183385","Up_Columbia_R_su.fa","0.0321839","Lyons_Ferry_fa","0.998135"
"90839-524",50761,"F","chinook","Up_Columbia_R_su.fa","0.9555435","Snake_R_fa","0.0433566","Little_White_Salmon_fa","0.998002"
"90839-527",50768,"M","chinook","Willamette_R","0.9986","Deschutes_R_fa","0",NA,NA
"90839-528",50769,"M","chinook","Willamette_R","1","Deschutes_R_fa","0",NA,NA
"90839-531",50772,"F","chinook","W_Cascade_sp","0.9999","Deschutes_R_fa","0","Speelyai","0.989155"
"90839-532",50773,"F","chinook","Willamette_R","0.8326","W_Cascade_sp","0.1674","Kalama_Falls_sp","0.998506"
"90839-533",50774,"M","chinook","Willamette_R","1","Deschutes_R_fa","0","Minto","0.986718"
"90839-535",50776,"F","chinook","Willamette_R","1","Deschutes_R_fa","0","Minto","0.997326"
"90839-536",50777,"M","chinook","Willamette_R","1","Deschutes_R_fa","0",NA,NA
"90839-540",50781,"F","chinook","W_Cascade_sp","0.9947","Deschutes_R_fa","0","Speelyai","0.994853"
"90839-541",50782,"F","chinook","Willamette_R","1","Deschutes_R_fa","0","Minto","0.991880"
"90839-542",50783,"F","chinook","W_Cascade_sp","0.98760123","Willamette_R","0.01189881","Kalama_Falls_sp","0.979950"
"90839-543",50784,"M","chinook","Willamette_R","0.9998","Deschutes_R_fa","0","S_Santiam","0.997028"
"90839-545",50786,"M","chinook","Willamette_R","1","Deschutes_R_fa","0",NA,NA
"90839-546",50787,"M","chinook","Willamette_R","0.9953","Deschutes_R_fa","0","S_Santiam","0.997875"
"90839-548",50789,"M","chinook","Willamette_R","0.9971","Deschutes_R_fa","0","S_Santiam","0.997359"
"90839-550",50791,"F","chinook","Willamette_R","0.9998","W_Cascade_sp","0.0002",NA,NA
"90839-551",50792,"M","chinook","Willamette_R","1","Deschutes_R_fa","0",NA,NA
"90839-552",50793,"F","chinook","Willamette_R","0.9999","W_Cascade_sp","0.0001",NA,NA
"90839-553",50794,"M","chinook","Willamette_R","0.99120087","W_Cascade_sp","0.00009913","Minto","0.987530"
"90839-554",50795,"F","chinook","Spring_Cr_Group_tule","1","Deschutes_R_fa","0","Spring_Creek","0.994210"
"90839-558",50798,"F","chinook","Spring_Cr_Group_tule","1","Deschutes_R_fa","0",NA,NA
"90839-559",50799,"M","chinook","Spring_Cr_Group_tule","1","Deschutes_R_fa","0","Bonneville","0.955764"
"90839-561",50808,"M","chinook","Willamette_R","1","Deschutes_R_fa","0",NA,NA
"90839-562",50809,"M","chinook","Willamette_R","0.9999","Deschutes_R_fa","0",NA,NA
"90839-563",50810,"M","chinook","Willamette_R","0.8653879","W_Cascade_sp","0.10631492",NA,NA
"90839-564",50811,"M","chinook","Willamette_R","0.90166447","W_Cascade_sp","0.03914144",NA,NA
"90839-568",50815,"M","chinook","Snake_R_fa","0.85635697","Up_Columbia_R_su.fa","0.14244314","Lyons_Ferry_fa","0.967871"
"90839-570",50817,"M","chinook","Spring_Cr_Group_tule","1","Deschutes_R_fa","0","Spring_Creek","0.929701"
"90839-572",50819,"F","chinook","Willamette_R","0.9948","W_Cascade_sp","0.0052",NA,NA
"90839-573",50820,"F","chinook","Snake_R_fa","0.9828","Up_Columbia_R_su.fa","0.0163","Lyons_Ferry_fa","0.993005"
"90839-574",50821,"F","chinook","Willamette_R","0.9985","W_Cascade_sp","0.0015",NA,NA
"90839-575",50822,"M","chinook","Willamette_R","0.9992","Deschutes_R_fa","0",NA,NA
"90839-576",50823,"M","chinook","Willamette_R","1","Deschutes_R_fa","0",NA,NA
"90839-577",50824,"M","chinook","Willamette_R","1","Deschutes_R_fa","0","McKenzie","0.991425"
"90839-578",50825,"F","chinook","Willamette_R","0.9995","Deschutes_R_fa","0","McKenzie","0.999354"
"90839-579",50826,"M","chinook","Willamette_R","1","Deschutes_R_fa","0","Minto","0.993612"
"90839-580",50827,"F","chinook","Willamette_R","0.9992","W_Cascade_sp","0.0008",NA,NA
"90839-582",50829,"M","chinook","Willamette_R","0.9993","Deschutes_R_fa","0","Minto","0.997106"
"90839-583",50830,"F","chinook","Willamette_R","1","Deschutes_R_fa","0",NA,NA
"90839-584",50831,"F","chinook","Willamette_R","1","Deschutes_R_fa","0","Minto","0.993294"
"90839-586",50833,"F","chinook","Willamette_R","0.66607217","W_Cascade_sp","0.3267299",NA,NA
"90839-587",50834,"M","chinook","Willamette_R","0.9758048","W_Cascade_sp","0.0239952",NA,NA
"90839-588",50835,"M","chinook","Willamette_R","1","Deschutes_R_fa","0","Minto","0.993422"
"90839-589",50836,"M","chinook","Willamette_R","1","Deschutes_R_fa","0",NA,NA
